run_id,msg_size,3_Avg-Duration_s,3_Min-Duration_s,3_Max-Duration_s,3_Median-Duration_s,3_MainRank-Duration_s
1,4096,3.6268e-05,3.2323e-05,4.3264e-05,3.574e-05,4.0087e-05
1,4096,3.5559e-05,3.125e-05,4.0319e-05,3.5469e-05,4.0319e-05
1,4096,3.7993e-05,3.2944e-05,4.4616e-05,3.8274e-05,4.3444e-05
1,4096,3.7684e-05,3.3034e-05,4.2984e-05,3.8053e-05,4.2513e-05
1,4096,3.6686e-05,3.2554e-05,4.2572e-05,3.7032e-05,4.2572e-05
1,4096,3.5249e-05,3.1631e-05,4.155e-05,3.4883e-05,3.8985e-05
1,4096,3.7261e-05,3.2603e-05,4.3444e-05,3.6666e-05,4.2152e-05
1,4096,3.7008e-05,3.2724e-05,4.2642e-05,3.7007e-05,4.2642e-05
1,4096,3.7756e-05,3.4016e-05,5.153e-05,3.7518e-05,4.2403e-05
1,4096,3.5433e-05,3.065e-05,4.127e-05,3.5108e-05,4.127e-05
1,4096,3.8578e-05,3.4156e-05,5.5739e-05,3.7734e-05,4.0649e-05
1,4096,3.8603e-05,3.4687e-05,4.9866e-05,3.8209e-05,4.2643e-05
1,4096,3.9737e-05,3.4828e-05,4.7673e-05,3.9331e-05,4.2132e-05
1,4096,3.8003e-05,3.3616e-05,4.5819e-05,3.7133e-05,4.3374e-05
1,4096,3.5165e-05,3.066e-05,4.1832e-05,3.4552e-05,4.1832e-05
1,4096,3.6976e-05,3.1892e-05,4.2662e-05,3.7828e-05,4.0168e-05
1,4096,3.7781e-05,3.3255e-05,5.0297e-05,3.7192e-05,4.2864e-05
1,4096,3.7101e-05,3.2703e-05,4.1851e-05,3.6922e-05,4.1109e-05
1,4096,3.7208e-05,3.2924e-05,5.2141e-05,3.632e-05,4.2602e-05
1,4096,3.7776e-05,3.2964e-05,4.5007e-05,3.7438e-05,3.7162e-05
1,4096,3.7955e-05,3.2584e-05,5.5687e-05,3.7347e-05,4.3555e-05
1,4096,3.7012e-05,3.3245e-05,4.2563e-05,3.6691e-05,4.2562e-05
1,4096,3.6726e-05,3.2593e-05,4.3555e-05,3.6942e-05,4.3555e-05
1,4096,3.4857e-05,3.119e-05,4.1711e-05,3.5148e-05,4.1711e-05
1,4096,3.7354e-05,3.2373e-05,4.3114e-05,3.6972e-05,4.1391e-05
1,4096,3.7165e-05,3.2343e-05,4.3104e-05,3.6581e-05,4.3104e-05
1,4096,3.8213e-05,3.4036e-05,4.4646e-05,3.7788e-05,4.2973e-05
1,4096,3.7508e-05,3.2383e-05,4.4075e-05,3.7258e-05,4.3204e-05
1,4096,3.5209e-05,3.095e-05,4.0999e-05,3.4973e-05,4.0318e-05
1,4096,3.7542e-05,3.2393e-05,4.4877e-05,3.7303e-05,3.9947e-05
1,4096,3.7472e-05,3.2563e-05,4.1841e-05,3.862e-05,4.1641e-05
1,4096,3.8702e-05,3.4106e-05,4.4045e-05,3.8509e-05,4.2573e-05
1,4096,3.5445e-05,3.1191e-05,5.0969e-05,3.5178e-05,4.2833e-05
1,4096,3.523e-05,3.1611e-05,4.0809e-05,3.5143e-05,4.0468e-05
1,4096,3.8874e-05,3.4487e-05,5.5077e-05,3.7763e-05,4.2042e-05
1,4096,3.7081e-05,3.2182e-05,4.3735e-05,3.6756e-05,4.3735e-05
1,4096,3.9164e-05,3.4357e-05,5.4837e-05,3.8205e-05,5.4837e-05
1,4096,3.4809e-05,3.076e-05,4.3985e-05,3.5018e-05,4.3985e-05
1,4096,3.6419e-05,3.2002e-05,4.2603e-05,3.6571e-05,3.9667e-05
1,4096,3.662e-05,3.2964e-05,4.3023e-05,3.6085e-05,4.3023e-05
1,4096,3.7807e-05,3.3385e-05,5.0318e-05,3.7548e-05,4.2993e-05
1,4096,3.7414e-05,3.2804e-05,4.3895e-05,3.6992e-05,4.2412e-05
1,4096,3.5105e-05,3.0839e-05,4.0789e-05,3.5083e-05,4.0789e-05
1,4096,3.7337e-05,3.1932e-05,4.4446e-05,3.7378e-05,4.134e-05
1,4096,3.8231e-05,3.3876e-05,4.4576e-05,3.7393e-05,4.3705e-05
1,4096,3.7557e-05,3.2633e-05,4.4467e-05,3.7888e-05,4.2052e-05
1,4096,3.5431e-05,3.106e-05,4.3504e-05,3.4727e-05,4.2543e-05
1,4096,3.7087e-05,3.2232e-05,4.5318e-05,3.6927e-05,3.9978e-05
1,4096,3.7375e-05,3.2233e-05,4.4867e-05,3.7007e-05,4.2432e-05
1,4096,3.6992e-05,3.2282e-05,4.2824e-05,3.6776e-05,4.2824e-05
1,4096,3.824e-05,3.3916e-05,4.4576e-05,3.866e-05,4.3876e-05
1,4096,3.4841e-05,3.082e-05,4.2783e-05,3.4822e-05,4.2783e-05
1,4096,3.6739e-05,3.1942e-05,4.2413e-05,3.7624e-05,4.105e-05
1,4096,3.735e-05,3.2824e-05,4.2703e-05,3.7217e-05,4.2703e-05
1,4096,3.737e-05,3.2132e-05,4.3044e-05,3.7182e-05,4.2753e-05
1,4096,3.7041e-05,3.3075e-05,4.2462e-05,3.6762e-05,4.2462e-05
1,4096,3.4787e-05,3.076e-05,4.1259e-05,3.4707e-05,4.0618e-05
1,4096,3.6595e-05,3.2152e-05,4.2342e-05,3.7223e-05,4.0178e-05
1,4096,3.6823e-05,3.2323e-05,4.2683e-05,3.7258e-05,4.2683e-05
1,4096,3.6774e-05,3.2353e-05,4.2693e-05,3.7167e-05,4.2693e-05
1,4096,3.4977e-05,3.094e-05,4.141e-05,3.5068e-05,4.141e-05
1,4096,3.6537e-05,3.1892e-05,4.2622e-05,3.6616e-05,4.0478e-05
1,4096,3.6725e-05,3.2152e-05,4.3825e-05,3.6576e-05,4.1941e-05
1,4096,3.6578e-05,3.2202e-05,4.2923e-05,3.645e-05,4.2172e-05
1,4096,3.6563e-05,3.2253e-05,4.2061e-05,3.7002e-05,4.2061e-05
1,4096,3.4951e-05,3.056e-05,4.1681e-05,3.4367e-05,4.1681e-05
1,4096,3.667e-05,3.2262e-05,4.3334e-05,3.7097e-05,4.1e-05
1,4096,3.6757e-05,3.2573e-05,4.2873e-05,3.7523e-05,4.2663e-05
1,4096,3.7175e-05,3.2573e-05,4.2853e-05,3.7162e-05,4.2853e-05
1,4096,3.5325e-05,3.1e-05,4.3926e-05,3.4943e-05,4.3926e-05
1,4096,3.5733e-05,3.119e-05,4.2723e-05,3.581e-05,3.9657e-05
1,4096,3.7172e-05,3.2462e-05,4.2874e-05,3.7282e-05,4.0358e-05
1,4096,3.7123e-05,3.2403e-05,4.3865e-05,3.7388e-05,4.3865e-05
1,4096,3.6483e-05,3.1762e-05,4.2473e-05,3.6441e-05,4.2473e-05
1,4096,3.496e-05,3.04e-05,4.3133e-05,3.4793e-05,4.3133e-05
1,4096,3.67e-05,3.1781e-05,4.2612e-05,3.7308e-05,4.0659e-05
1,4096,3.8435e-05,3.3265e-05,4.5218e-05,3.8885e-05,4.3294e-05
1,4096,3.7472e-05,3.2733e-05,4.5979e-05,3.6997e-05,4.1991e-05
1,4096,3.7034e-05,3.3245e-05,4.2934e-05,3.665e-05,4.2041e-05
1,4096,3.4914e-05,3.133e-05,4.2793e-05,3.4627e-05,4.2793e-05
1,4096,3.6442e-05,3.1842e-05,4.2553e-05,3.6496e-05,4.0178e-05
1,4096,3.7238e-05,3.2813e-05,4.5388e-05,3.6912e-05,4.3084e-05
1,4096,3.7075e-05,3.2704e-05,4.3485e-05,3.6471e-05,4.2572e-05
1,4096,3.5175e-05,3.1301e-05,4.2503e-05,3.4702e-05,4.2202e-05
1,4096,3.5346e-05,3.1461e-05,4.0458e-05,3.5003e-05,4.0458e-05
1,4096,3.703e-05,3.2282e-05,4.4326e-05,3.7228e-05,4.0578e-05
1,4096,3.7181e-05,3.2443e-05,4.2593e-05,3.7403e-05,4.2593e-05
