run_id,0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1,0.00322449,0.003211685,0.003230379,0.003227949,0.003211685
1,0.003205625,0.003200877,0.003210659,0.003205482,0.003200877
1,0.003197187,0.0031929,0.003200507,0.00319767,0.0031929
1,0.003175967,0.003174237,0.003178325,0.003175653,0.003174237
1,0.003177198,0.003170863,0.00318375,0.00317709,0.003170863
1,0.00318975,0.003184757,0.003194321,0.003189962,0.003184757
1,0.003179369,0.003173728,0.003185732,0.003179008,0.003173728
1,0.003182063,0.003177513,0.003187779,0.00318148,0.003177513
1,0.003173841,0.003167376,0.003180875,0.003173557,0.003167376
1,0.003178518,0.003175328,0.003181141,0.003178802,0.003175328
1,0.003173298,0.003166346,0.003181258,0.003172794,0.003166346
1,0.003166511,0.003163794,0.003169843,0.003166203,0.003164614
1,0.003162742,0.003161143,0.003165349,0.003162239,0.003161143
1,0.003177613,0.003171623,0.003182884,0.003177973,0.003171623
1,0.003163343,0.003157155,0.003170686,0.003162765,0.003157155
1,0.00315922,0.003157621,0.003162104,0.003158577,0.003157621
1,0.003157746,0.003156548,0.003159274,0.00315758,0.003156548
1,0.003151253,0.003150035,0.003152501,0.003151239,0.003150176
1,0.003164407,0.00315806,0.003171176,0.003164195,0.003158367
1,0.003174641,0.003171109,0.003179435,0.00317401,0.003171109
1,0.003155347,0.003153404,0.003157251,0.003155367,0.003153404
1,0.003153843,0.003152548,0.003155257,0.003153782,0.003152991
1,0.00315257,0.0031512,0.003154293,0.003152394,0.0031512
1,0.003151556,0.003150057,0.003152982,0.003151593,0.003150477
1,0.003151572,0.003149959,0.003153223,0.003151553,0.003149959
1,0.003151305,0.003148696,0.003153713,0.003151405,0.003150175
1,0.003148723,0.003146586,0.003151164,0.003148571,0.003146586
1,0.003156664,0.003151322,0.003162717,0.003156308,0.003151385
1,0.003152292,0.003151021,0.003154568,0.00315179,0.003151021
1,0.003150572,0.003149248,0.003152129,0.003150456,0.003149461
1,0.003151708,0.003148568,0.003155229,0.003151517,0.003148568
1,0.003159691,0.003156941,0.00316364,0.003159092,0.003157458
1,0.003150702,0.003148406,0.003152794,0.003150803,0.003148406
1,0.003158306,0.003152986,0.003163518,0.003158359,0.003152986
1,0.003144978,0.00314362,0.003146679,0.003144807,0.00314362
1,0.003147491,0.003145711,0.003148815,0.00314772,0.003146919
1,0.003160169,0.003153971,0.003167189,0.003159757,0.003153971
1,0.003140855,0.003138938,0.003142952,0.003140765,0.003138938
1,0.0031665,0.003163131,0.003170041,0.003166414,0.003163131
1,0.003147806,0.003145659,0.00315009,0.003147737,0.00314654
1,0.003186668,0.003184031,0.00318876,0.003186939,0.003184031
1,0.003170327,0.003157211,0.003176799,0.00317365,0.003157211
1,0.003173798,0.003168827,0.003178333,0.003174016,0.003168827
1,0.003169915,0.003165203,0.003175569,0.003169444,0.003165203
1,0.003154559,0.003148402,0.003161276,0.003154278,0.003148402
1,0.003156971,0.003155618,0.003159516,0.003156375,0.003155969
1,0.003149135,0.003145694,0.00315281,0.003149019,0.003145694
1,0.003153979,0.00315224,0.003156449,0.003153612,0.00315224
1,0.003142534,0.003141109,0.003143887,0.00314257,0.003141109
1,0.003145389,0.003144441,0.003146522,0.003145296,0.003144616
1,0.003149565,0.003147031,0.00315284,0.003149196,0.003147031
1,0.003155208,0.003149205,0.003162552,0.003154538,0.003149205
1,0.003146784,0.003142948,0.003151528,0.003146331,0.003142948
1,0.003161428,0.003157106,0.003166394,0.003161105,0.003157106
1,0.003163633,0.003160484,0.003167879,0.003163085,0.003160484
1,0.003142092,0.003138526,0.003146449,0.003141697,0.003138526
1,0.00316251,0.003157605,0.003167791,0.003162322,0.003157605
1,0.003156552,0.00315136,0.003162259,0.003156294,0.00315136
1,0.003143051,0.00313955,0.003145608,0.003143523,0.00313955
1,0.0031437,0.003140939,0.003146349,0.003143755,0.003142668
1,0.003164754,0.003162737,0.003167632,0.003164324,0.003162737
1,0.003139608,0.003137824,0.003141401,0.003139603,0.003137824
1,0.003133315,0.003132053,0.003134989,0.00313311,0.003132053
1,0.003142696,0.003141158,0.003144261,0.003142682,0.003141657
1,0.00315348,0.003147515,0.003159601,0.003153402,0.003147515
1,0.003141326,0.003138809,0.003144772,0.003140861,0.003138809
1,0.003144057,0.003141244,0.003147888,0.003143547,0.003141244
1,0.003136606,0.003134726,0.0031388,0.003136448,0.003134726
1,0.003140411,0.003138343,0.003142175,0.003140563,0.003139734
1,0.00314828,0.003140386,0.003154935,0.003148898,0.003140386
1,0.00315284,0.00314823,0.003158246,0.003152442,0.00314823
1,0.003147945,0.003141892,0.003154643,0.003147623,0.003141892
1,0.003136814,0.003134493,0.003140102,0.003136331,0.003136041
1,0.003138672,0.003136509,0.003140385,0.003138897,0.003136509
1,0.003139868,0.003138552,0.003141254,0.003139834,0.003139053
1,0.003145469,0.003139731,0.003151829,0.003145158,0.003139731
1,0.003142124,0.003136897,0.00314819,0.003141705,0.003136897
1,0.003147887,0.003142161,0.003154176,0.003147606,0.003142161
1,0.003135753,0.003132686,0.003139852,0.003135237,0.003132686
1,0.003155746,0.003150548,0.003160058,0.003156189,0.003150548
1,0.00313664,0.003133382,0.003140549,0.003136314,0.003134555
1,0.00315875,0.003148505,0.003163105,0.003161695,0.003160578
1,0.003134926,0.003133004,0.003136475,0.003135112,0.003134574
1,0.003135997,0.003133944,0.003139023,0.00313551,0.003133944
1,0.003140548,0.003137279,0.003145001,0.003139956,0.003137675
1,0.00314445,0.00313792,0.003151385,0.003144248,0.00313792
1,0.003154087,0.00313575,0.00316311,0.003158744,0.00313575
1,0.003129945,0.003128681,0.003132151,0.003129475,0.003128681
1,0.003131446,0.003130074,0.003132583,0.003131563,0.003130074
1,0.003140272,0.003138797,0.003141274,0.003140508,0.003138797
1,0.003140952,0.003137909,0.003143825,0.003141036,0.003139284
1,0.003141801,0.003139681,0.003145101,0.003141211,0.003139681
1,0.003134013,0.003132153,0.003136015,0.003133941,0.003132153
1,0.003142118,0.00313937,0.003145527,0.003141788,0.003139405
1,0.003134365,0.003131446,0.003138397,0.003133809,0.003131446
1,0.003155197,0.00314964,0.003159647,0.003155751,0.00314964
1,0.003151827,0.003147303,0.003156915,0.003151545,0.003147303
1,0.003132456,0.003130198,0.003134796,0.003132414,0.003130198
1,0.003139681,0.003135524,0.003144296,0.003139453,0.003135524
1,0.003144978,0.003140336,0.003150653,0.003144462,0.003140336
1,0.003137095,0.003135357,0.003140357,0.003136332,0.003135389
1,0.003135403,0.003133059,0.003138741,0.003134906,0.003133059
1,0.003149187,0.003142902,0.003155601,0.003149122,0.003142902
1,0.003154093,0.00314074,0.003160275,0.003157678,0.00314074
1,0.00313282,0.00313139,0.003134848,0.003132521,0.00313139
1,0.003151868,0.003145915,0.003157979,0.00315179,0.003145915
1,0.003158193,0.003152798,0.003162223,0.003158875,0.003152798
1,0.003147709,0.003142473,0.003153899,0.003147232,0.003142473
1,0.003134597,0.003132021,0.003138615,0.003133876,0.003132354
1,0.003138157,0.003135717,0.003142133,0.003137389,0.003135891
1,0.003134234,0.003131004,0.003138084,0.003133924,0.003131004
1,0.003156183,0.003149617,0.003160203,0.003157456,0.003149617
1,0.003131707,0.003129825,0.003133716,0.003131645,0.003130585
1,0.003131268,0.003130014,0.003133191,0.003130934,0.003130014
1,0.0031509,0.003145213,0.003156749,0.003150819,0.003145213
1,0.003145644,0.003137819,0.003153399,0.003145678,0.003137819
1,0.003133428,0.003132059,0.003135788,0.003132932,0.003132188
1,0.003135688,0.003134481,0.003136992,0.003135639,0.003134481
1,0.003144813,0.003138179,0.003150945,0.003145065,0.003138179
1,0.003138228,0.003132545,0.003145186,0.00313759,0.003132545
1,0.003136499,0.003134576,0.003138851,0.003136285,0.003134576
1,0.003132035,0.003129532,0.003134148,0.003132231,0.003129532
1,0.003139774,0.00313841,0.003142001,0.003139344,0.00313841
1,0.003153117,0.003146178,0.003158757,0.003153768,0.003146178
1,0.003154241,0.003140822,0.003161268,0.003157436,0.003140822
1,0.003139107,0.003133906,0.003145762,0.003138379,0.003134304
1,0.003153094,0.003148076,0.003158747,0.003152776,0.003148076
1,0.003143616,0.003137425,0.003150938,0.00314305,0.003137425
1,0.003140753,0.003136475,0.003145709,0.003140413,0.003136475
1,0.003144619,0.003138728,0.003151593,0.003144077,0.003138728
1,0.003151473,0.003145717,0.003157963,0.003151106,0.003145717
1,0.003144782,0.003138315,0.003151828,0.003144493,0.003138315
1,0.0031356,0.003132156,0.003140441,0.003134901,0.003132156
1,0.003156145,0.003152781,0.00315917,0.003156314,0.003152781
1,0.003138744,0.003137409,0.003140256,0.003138655,0.003137409
1,0.003136475,0.003133159,0.00313961,0.003136565,0.003135485
1,0.003133878,0.003131289,0.003137274,0.003133475,0.003131289
1,0.003143278,0.00313718,0.003149761,0.003143085,0.00313718
