run_id,msg_size,1_Avg-Duration_s,1_Min-Duration_s,1_Max-Duration_s,1_Median-Duration_s,1_MainRank-Duration_s
1,64,2.9154e-05,2.7944e-05,3.115e-05,2.9167e-05,3.1121e-05
1,64,2.9065e-05,2.7724e-05,3.1121e-05,2.8976e-05,3.049e-05
1,64,2.9018e-05,2.7273e-05,3.2252e-05,2.8931e-05,2.9878e-05
1,64,2.9179e-05,2.7694e-05,3.1842e-05,2.9222e-05,3.0359e-05
1,64,2.9346e-05,2.8035e-05,3.2424e-05,2.9427e-05,3.0489e-05
1,64,2.9062e-05,2.7513e-05,3.1963e-05,2.8931e-05,3.0729e-05
1,64,2.9048e-05,2.7724e-05,3.1551e-05,2.9011e-05,3.1551e-05
1,64,2.8837e-05,2.7253e-05,3.092e-05,2.8776e-05,3.092e-05
1,64,3.1496e-05,2.9508e-05,3.6511e-05,3.1371e-05,3.2914e-05
1,64,2.9127e-05,2.7934e-05,3.4126e-05,2.8986e-05,3.0769e-05
1,64,2.9039e-05,2.7303e-05,3.2954e-05,2.8926e-05,3.2954e-05
1,64,4.1262e-05,2.9407e-05,0.000350328,3.113e-05,3.103e-05
1,64,2.9631e-05,2.7814e-05,3.3234e-05,2.9477e-05,3.0991e-05
1,64,3.1301e-05,2.9668e-05,3.5188e-05,3.1186e-05,3.2723e-05
1,64,2.9376e-05,2.7724e-05,3.132e-05,2.9613e-05,3.0309e-05
1,64,2.9093e-05,2.7544e-05,3.2002e-05,2.9072e-05,3.2002e-05
1,64,2.8969e-05,2.7333e-05,3.1621e-05,2.9061e-05,3.0339e-05
1,64,2.8948e-05,2.7394e-05,3.2142e-05,2.8666e-05,3.2142e-05
1,64,3.0964e-05,2.8996e-05,3.4857e-05,3.088e-05,3.0539e-05
1,64,2.9166e-05,2.7503e-05,3.2242e-05,2.8816e-05,3.1171e-05
1,64,3.1675e-05,2.9266e-05,3.7914e-05,3.114e-05,3.2773e-05
1,64,2.9486e-05,2.7534e-05,3.2774e-05,2.9296e-05,3.1191e-05
1,64,2.9476e-05,2.7534e-05,3.3004e-05,2.9232e-05,3.3004e-05
1,64,3.1447e-05,2.9227e-05,3.8084e-05,3.09e-05,3.0369e-05
1,64,2.9574e-05,2.7834e-05,3.1912e-05,2.9477e-05,3.0018e-05
1,64,3.0812e-05,2.9317e-05,3.4136e-05,3.0615e-05,3.0369e-05
1,64,2.9165e-05,2.7574e-05,3.1651e-05,2.9207e-05,3.0689e-05
1,64,3.1178e-05,2.9578e-05,3.6461e-05,3.0981e-05,3.3074e-05
1,64,2.9128e-05,2.7424e-05,3.2272e-05,2.8997e-05,3.1001e-05
1,64,2.9261e-05,2.7403e-05,3.3445e-05,2.8937e-05,3.3445e-05
1,64,3.2873e-05,3.0078e-05,3.9676e-05,3.2543e-05,3.0078e-05
1,64,3.0001e-05,2.8244e-05,3.608e-05,2.9533e-05,3.056e-05
1,64,3.1503e-05,2.9757e-05,3.8214e-05,3.1075e-05,3.2493e-05
1,64,2.9432e-05,2.7483e-05,3.4266e-05,2.9256e-05,3.0679e-05
1,64,0.000318648,3.4167e-05,0.0003394,0.000328536,3.4167e-05
1,64,2.9244e-05,2.7834e-05,3.2593e-05,2.9086e-05,3.0539e-05
1,64,2.9371e-05,2.7454e-05,3.2593e-05,2.9217e-05,3.2593e-05
1,64,3.1598e-05,2.9678e-05,3.6411e-05,3.1281e-05,3.1291e-05
1,64,2.9826e-05,2.7984e-05,3.4166e-05,2.9387e-05,3.4166e-05
1,64,3.1514e-05,2.9438e-05,3.6961e-05,3.0964e-05,3.6961e-05
1,64,2.9397e-05,2.7714e-05,3.3916e-05,2.9137e-05,3.3916e-05
1,64,2.9143e-05,2.7443e-05,3.6071e-05,2.8621e-05,3.6071e-05
1,64,3.122e-05,2.9056e-05,3.58e-05,3.09e-05,3.3485e-05
1,64,2.945e-05,2.7704e-05,3.2734e-05,2.9281e-05,3.2734e-05
1,64,3.1173e-05,2.9176e-05,3.5358e-05,3.1271e-05,3.0639e-05
1,64,2.9519e-05,2.7403e-05,3.2603e-05,2.9276e-05,3.088e-05
1,64,3.1427e-05,2.9207e-05,3.4657e-05,3.1351e-05,3.1722e-05
1,64,2.9693e-05,2.7944e-05,3.3695e-05,2.9362e-05,2.9537e-05
1,64,2.9102e-05,2.7263e-05,3.2854e-05,2.8841e-05,3.1672e-05
1,64,3.126e-05,2.9087e-05,3.4818e-05,3.112e-05,3.106e-05
1,64,2.9075e-05,2.7333e-05,3.121e-05,2.8881e-05,3.121e-05
1,64,3.1062e-05,2.9236e-05,3.5078e-05,3.1005e-05,3.2864e-05
1,64,2.9074e-05,2.7613e-05,3.2382e-05,2.8961e-05,2.9847e-05
1,64,2.926e-05,2.7413e-05,3.567e-05,2.9142e-05,3.1852e-05
1,64,2.9683e-05,2.7764e-05,3.58e-05,2.9533e-05,3.0759e-05
1,64,2.9156e-05,2.7423e-05,3.6491e-05,2.8826e-05,3.1391e-05
1,64,3.1016e-05,2.9367e-05,3.5669e-05,3.095e-05,3.13e-05
1,64,2.9088e-05,2.7132e-05,3.3746e-05,2.9102e-05,3.0469e-05
1,64,3.1114e-05,2.9377e-05,3.5669e-05,3.096e-05,3.2293e-05
1,64,2.9018e-05,2.7213e-05,3.3705e-05,2.8901e-05,3.1201e-05
1,64,2.9009e-05,2.7454e-05,3.3024e-05,2.8811e-05,3.2823e-05
1,64,2.8982e-05,2.7143e-05,3.3254e-05,2.8696e-05,2.9737e-05
1,64,2.9238e-05,2.7343e-05,3.3004e-05,2.9121e-05,3.1e-05
1,64,3.083e-05,2.9186e-05,3.3465e-05,3.0854e-05,2.9557e-05
1,64,2.8924e-05,2.7673e-05,3.0991e-05,2.8861e-05,3.0991e-05
1,64,3.2157e-05,3.0259e-05,3.4858e-05,3.2223e-05,3.4097e-05
1,64,2.917e-05,2.7684e-05,3.2533e-05,2.9182e-05,3.075e-05
1,64,2.9174e-05,2.7694e-05,3.2233e-05,2.9327e-05,3.2233e-05
1,64,3.0706e-05,2.9227e-05,3.2342e-05,3.0614e-05,3.0229e-05
1,64,2.871e-05,2.7353e-05,3.0629e-05,2.8721e-05,3.0239e-05
1,64,3.0759e-05,2.9287e-05,3.1972e-05,3.084e-05,2.9688e-05
1,64,2.8617e-05,2.7313e-05,3.0178e-05,2.8525e-05,2.9697e-05
1,64,3.0737e-05,2.9267e-05,3.2152e-05,3.0965e-05,3.2152e-05
1,64,2.8769e-05,2.7143e-05,3.1732e-05,2.8796e-05,3.0469e-05
1,64,2.908e-05,2.7483e-05,3.2453e-05,2.9181e-05,3.1531e-05
1,64,3.0824e-05,2.8816e-05,3.4367e-05,3.086e-05,3.099e-05
1,64,2.8933e-05,2.7423e-05,3.2473e-05,2.877e-05,3.1131e-05
1,64,3.1315e-05,2.9357e-05,3.5889e-05,3.0985e-05,3.2162e-05
1,64,2.8921e-05,2.7633e-05,3.0769e-05,2.8806e-05,3.0379e-05
1,64,2.9054e-05,2.7263e-05,3.2443e-05,2.8811e-05,3.2443e-05
1,64,2.8741e-05,2.7163e-05,3.0299e-05,2.8787e-05,3.0299e-05
1,64,2.91e-05,2.7453e-05,3.614e-05,2.8957e-05,3.614e-05
1,64,3.0775e-05,2.9047e-05,3.4266e-05,3.079e-05,3.4266e-05
1,64,2.9302e-05,2.7654e-05,3.4387e-05,2.9072e-05,3.4387e-05
1,64,3.0973e-05,2.9287e-05,3.6301e-05,3.065e-05,3.6301e-05
1,64,2.8972e-05,2.7333e-05,3.3214e-05,2.8816e-05,3.3214e-05
1,64,2.9069e-05,2.7583e-05,3.3004e-05,2.8886e-05,3.1932e-05
1,64,3.0886e-05,2.9156e-05,3.4767e-05,3.07e-05,3.1882e-05
1,64,2.9025e-05,2.7413e-05,3.2072e-05,2.878e-05,3.1451e-05
1,64,3.0939e-05,2.8666e-05,3.4888e-05,3.0865e-05,3.0319e-05
1,64,2.9047e-05,2.7042e-05,3.2774e-05,2.8976e-05,3.1311e-05
1,64,3.0933e-05,2.8996e-05,3.2944e-05,3.0995e-05,3.2243e-05
1,64,2.907e-05,2.7724e-05,3.077e-05,2.9051e-05,3.0188e-05
1,64,2.9188e-05,2.7153e-05,3.2052e-05,2.9287e-05,3.2052e-05
1,64,3.0924e-05,2.8876e-05,3.4336e-05,3.102e-05,3.083e-05
1,64,2.9224e-05,2.7674e-05,3.2172e-05,2.9227e-05,3.0359e-05
1,64,3.1127e-05,2.9367e-05,3.4737e-05,3.115e-05,3.2824e-05
1,64,2.9026e-05,2.7794e-05,3.0469e-05,2.8997e-05,3.0469e-05
1,64,2.8964e-05,2.7483e-05,3.3084e-05,2.8861e-05,3.3084e-05
1,64,2.8742e-05,2.7203e-05,3.0349e-05,2.8791e-05,3.0028e-05
1,64,2.8829e-05,2.7183e-05,3.3395e-05,2.86e-05,3.3395e-05
1,64,3.2427e-05,3.0119e-05,3.4647e-05,3.2478e-05,3.0119e-05
1,64,2.9059e-05,2.7513e-05,3.1061e-05,2.8951e-05,3.0219e-05
1,64,3.0992e-05,2.9528e-05,3.2242e-05,3.1046e-05,3.1742e-05
1,64,2.897e-05,2.7523e-05,3.0399e-05,2.9172e-05,3.0119e-05
1,64,2.9013e-05,2.7404e-05,3.2153e-05,2.9266e-05,3.2153e-05
1,64,3.0582e-05,2.8966e-05,3.2303e-05,3.067e-05,3.0099e-05
1,64,2.8896e-05,2.7423e-05,3.1952e-05,2.864e-05,3.07e-05
1,64,3.1068e-05,2.9457e-05,3.603e-05,3.0851e-05,3.0469e-05
1,64,2.9384e-05,2.7553e-05,3.2533e-05,2.9127e-05,2.9056e-05
1,64,3.1038e-05,2.9287e-05,3.5068e-05,3.0835e-05,3.1942e-05
1,64,2.9288e-05,2.7573e-05,3.3375e-05,2.9057e-05,3.0119e-05
1,64,2.9639e-05,2.7804e-05,3.7012e-05,2.9312e-05,3.7012e-05
1,64,3.1064e-05,2.9166e-05,3.4908e-05,3.0925e-05,3.046e-05
1,64,2.954e-05,2.7754e-05,3.2944e-05,2.9097e-05,3.0609e-05
1,64,3.1343e-05,2.9398e-05,3.4206e-05,3.1181e-05,3.2793e-05
1,64,2.9301e-05,2.7483e-05,3.2242e-05,2.9191e-05,3.0569e-05
1,64,2.9004e-05,2.7383e-05,3.2233e-05,2.8976e-05,3.2233e-05
1,64,2.9134e-05,2.7875e-05,3.2182e-05,2.8966e-05,2.9608e-05
1,64,2.9074e-05,2.7273e-05,3.2553e-05,2.8921e-05,3.1662e-05
1,64,3.1166e-05,2.9057e-05,3.5359e-05,3.1025e-05,3.0209e-05
1,64,2.942e-05,2.7573e-05,3.2283e-05,2.9252e-05,2.9457e-05
1,64,3.0829e-05,2.9156e-05,3.3325e-05,3.096e-05,3.2152e-05
1,64,2.8981e-05,2.7693e-05,3.2533e-05,2.9001e-05,3.0178e-05
1,64,2.942e-05,2.7273e-05,3.5809e-05,2.9066e-05,3.5809e-05
1,64,2.8877e-05,2.7213e-05,3.3254e-05,2.8551e-05,3.3254e-05
1,64,2.9285e-05,2.7483e-05,3.3395e-05,2.8996e-05,3.3395e-05
1,64,3.0971e-05,2.9117e-05,3.4797e-05,3.065e-05,3.3795e-05
1,64,2.9157e-05,2.7543e-05,3.4076e-05,2.8941e-05,3.4076e-05
1,64,3.086e-05,2.9277e-05,3.3345e-05,3.1055e-05,3.3344e-05
1,64,2.8867e-05,2.6942e-05,3.2062e-05,2.8966e-05,3.0008e-05
1,64,2.8995e-05,2.7383e-05,3.3215e-05,2.8816e-05,3.1982e-05
1,64,3.0998e-05,2.9247e-05,3.5128e-05,3.0724e-05,3.0379e-05
1,64,2.9019e-05,2.7123e-05,3.1792e-05,2.8796e-05,3.081e-05
1,64,3.0979e-05,2.9317e-05,3.3906e-05,3.0891e-05,2.9317e-05
1,64,2.8997e-05,2.7093e-05,3.2723e-05,2.8735e-05,3.0179e-05
1,64,3.2062e-05,3.041e-05,3.3394e-05,3.2067e-05,3.3394e-05
1,64,2.8968e-05,2.7563e-05,3.2764e-05,2.8771e-05,2.9918e-05
1,64,2.9155e-05,2.7353e-05,3.3876e-05,2.8951e-05,3.3876e-05
1,64,3.098e-05,2.9136e-05,3.4366e-05,3.0734e-05,3.0189e-05
1,64,2.9111e-05,2.7063e-05,3.1722e-05,2.9006e-05,2.9938e-05
1,64,3.1418e-05,2.9177e-05,3.4887e-05,3.122e-05,3.1982e-05
1,64,2.9114e-05,2.7213e-05,3.2393e-05,2.9272e-05,3.0139e-05
1,64,2.9097e-05,2.7403e-05,3.2373e-05,2.8941e-05,3.2373e-05
1,64,2.9124e-05,2.7614e-05,3.1451e-05,2.9041e-05,2.9988e-05
1,64,2.9355e-05,2.7824e-05,3.5409e-05,2.9001e-05,3.5409e-05
1,64,3.1003e-05,2.9387e-05,3.608e-05,3.0589e-05,3.3515e-05
1,64,2.9329e-05,2.7704e-05,3.3295e-05,2.9031e-05,3.3295e-05
1,64,3.1616e-05,2.9427e-05,3.5339e-05,3.1411e-05,3.3946e-05
1,64,2.9166e-05,2.7353e-05,3.3786e-05,2.8992e-05,3.3786e-05
1,64,2.9111e-05,2.7613e-05,3.2012e-05,2.8956e-05,3.2012e-05
1,64,3.0777e-05,2.9397e-05,3.2824e-05,3.076e-05,3.06e-05
1,64,2.9049e-05,2.7633e-05,3.106e-05,2.9106e-05,3.106e-05
1,64,3.0755e-05,2.9477e-05,3.1722e-05,3.0795e-05,3.0198e-05
1,64,2.8946e-05,2.7653e-05,3.0559e-05,2.9022e-05,3.0189e-05
1,64,3.0928e-05,2.9267e-05,3.5379e-05,3.0915e-05,3.1e-05
1,64,2.8646e-05,2.7162e-05,2.9999e-05,2.8666e-05,2.9999e-05
1,64,2.8795e-05,2.7183e-05,3.2062e-05,2.8766e-05,3.2062e-05
1,64,3.0704e-05,2.9016e-05,3.2323e-05,3.0759e-05,3.0419e-05
1,64,2.8959e-05,2.7704e-05,3.0639e-05,2.8806e-05,3.0139e-05
1,64,3.093e-05,2.9357e-05,3.4407e-05,3.0664e-05,3.2213e-05
1,64,2.8826e-05,2.7233e-05,3.1011e-05,2.8375e-05,3.065e-05
1,64,2.8999e-05,2.7654e-05,3.1952e-05,2.8901e-05,3.1952e-05
1,64,2.8858e-05,2.6982e-05,3.2292e-05,2.8656e-05,2.9989e-05
1,64,2.9009e-05,2.7784e-05,3.2333e-05,2.8836e-05,3.2333e-05
1,64,3.0626e-05,2.9097e-05,3.3084e-05,3.0595e-05,2.9687e-05
1,64,2.8933e-05,2.7414e-05,3.0589e-05,2.8781e-05,3.0069e-05
1,64,3.0693e-05,2.9026e-05,3.3005e-05,3.066e-05,3.1601e-05
1,64,2.9124e-05,2.7483e-05,3.1882e-05,2.9047e-05,2.9758e-05
1,64,0.000198819,2.9397e-05,0.000214156,0.000203094,0.00019577
1,64,3.1809e-05,2.9487e-05,3.8024e-05,3.0945e-05,3.0299e-05
1,64,2.9055e-05,2.8004e-05,3.1722e-05,2.8831e-05,3.0179e-05
1,64,3.3155e-05,3.0319e-05,4.2924e-05,3.2478e-05,3.0319e-05
1,64,2.8894e-05,2.7594e-05,3.1491e-05,2.8771e-05,2.9958e-05
1,64,3.1197e-05,2.9648e-05,3.3765e-05,3.1105e-05,3.1842e-05
1,64,2.9028e-05,2.7493e-05,3.1511e-05,2.8887e-05,3.0509e-05
1,64,2.8794e-05,2.7213e-05,3.1892e-05,2.8675e-05,3.1892e-05
1,64,3.0999e-05,2.9437e-05,3.4717e-05,3.0795e-05,3.069e-05
1,64,2.9034e-05,2.7814e-05,3.0549e-05,2.8911e-05,3.0108e-05
1,64,3.1128e-05,2.9548e-05,3.588e-05,3.0995e-05,3.2022e-05
1,64,2.9276e-05,2.7644e-05,3.2092e-05,2.9412e-05,2.9668e-05
1,64,2.9266e-05,2.7484e-05,3.2323e-05,2.9042e-05,3.2323e-05
1,64,2.9176e-05,2.7844e-05,3.1621e-05,2.9186e-05,3.0269e-05
1,64,2.9064e-05,2.7594e-05,3.2924e-05,2.8826e-05,3.2924e-05
1,64,3.0936e-05,2.9207e-05,3.4697e-05,3.084e-05,2.9908e-05
1,64,2.9123e-05,2.7673e-05,3.1531e-05,2.9176e-05,3.082e-05
1,64,3.114e-05,2.9407e-05,3.5789e-05,3.103e-05,3.1692e-05
1,64,2.932e-05,2.7373e-05,3.1381e-05,2.9306e-05,3.07e-05
1,64,2.9135e-05,2.7594e-05,3.1561e-05,2.9362e-05,3.1561e-05
1,64,2.8885e-05,2.7343e-05,3.2043e-05,2.88e-05,3.0059e-05
1,64,2.8962e-05,2.7453e-05,3.1892e-05,2.8871e-05,3.062e-05
1,64,3.1005e-05,2.9097e-05,3.4688e-05,3.0585e-05,2.9878e-05
1,64,2.9051e-05,2.7473e-05,3.2222e-05,2.9051e-05,3.0269e-05
1,64,3.1113e-05,2.9026e-05,3.615e-05,3.1126e-05,3.2212e-05
1,64,2.9949e-05,2.7784e-05,3.4838e-05,2.9692e-05,3.4838e-05
1,64,2.8958e-05,2.7263e-05,3.2092e-05,2.8891e-05,3.1501e-05
1,64,3.1159e-05,2.9397e-05,3.3696e-05,3.1045e-05,3.2042e-05
1,64,2.9173e-05,2.7563e-05,3.0489e-05,2.9252e-05,2.9949e-05
1,64,3.0951e-05,2.9377e-05,3.2113e-05,3.101e-05,3.0439e-05
1,64,2.8786e-05,2.7203e-05,3.0579e-05,2.8636e-05,3.0449e-05
1,64,3.0907e-05,2.9467e-05,3.4877e-05,3.0544e-05,3.2153e-05
1,64,2.8751e-05,2.7584e-05,3.1311e-05,2.8546e-05,2.9928e-05
1,64,2.8968e-05,2.7633e-05,3.2232e-05,2.8966e-05,3.2232e-05
1,64,3.0972e-05,2.9006e-05,3.613e-05,3.074e-05,3.0519e-05
1,64,2.9633e-05,2.8245e-05,3.3616e-05,2.9191e-05,3.076e-05
1,64,3.132e-05,2.9928e-05,3.607e-05,3.105e-05,3.2683e-05
1,64,3.0052e-05,2.7734e-05,3.3565e-05,2.9502e-05,3.2453e-05
1,64,2.932e-05,2.7534e-05,3.7323e-05,2.8801e-05,3.7323e-05
1,64,2.9175e-05,2.7464e-05,3.5188e-05,2.8726e-05,3.3255e-05
1,64,2.9614e-05,2.7634e-05,3.5208e-05,2.9071e-05,3.5208e-05
1,64,3.0923e-05,2.9617e-05,3.5019e-05,3.0729e-05,3.3204e-05
1,64,2.9053e-05,2.7323e-05,3.1872e-05,2.8866e-05,3.1872e-05
1,64,3.0929e-05,2.9067e-05,3.5288e-05,3.072e-05,3.1972e-05
1,64,2.9055e-05,2.7343e-05,3.2733e-05,2.9061e-05,2.9798e-05
1,64,2.9033e-05,2.7323e-05,3.2834e-05,2.8926e-05,3.1852e-05
1,64,3.0712e-05,2.9197e-05,3.4717e-05,3.0304e-05,2.9968e-05
1,64,2.8787e-05,2.7494e-05,3.0139e-05,2.8816e-05,3.0018e-05
1,64,3.0739e-05,2.9237e-05,3.3155e-05,3.0689e-05,3.047e-05
1,64,2.8903e-05,2.7354e-05,3.078e-05,2.8911e-05,3.059e-05
1,64,3.0762e-05,2.8806e-05,3.2343e-05,3.08e-05,3.2253e-05
1,64,2.8772e-05,2.7293e-05,3.2112e-05,2.867e-05,3.0068e-05
1,64,2.9151e-05,2.7604e-05,3.2734e-05,2.8906e-05,3.2734e-05
1,64,3.0866e-05,2.9167e-05,3.5299e-05,3.075e-05,3.0238e-05
1,64,2.9089e-05,2.7464e-05,3.1141e-05,2.8992e-05,3.0589e-05
1,64,3.0958e-05,2.9437e-05,3.4617e-05,3.079e-05,3.2593e-05
1,64,2.9283e-05,2.7464e-05,3.1371e-05,2.9282e-05,2.9718e-05
1,64,2.8911e-05,2.7043e-05,3.2193e-05,2.8851e-05,3.2152e-05
1,64,2.9287e-05,2.7653e-05,3.3175e-05,2.8966e-05,3.3175e-05
1,64,2.9353e-05,2.7293e-05,3.5549e-05,2.8976e-05,3.5549e-05
1,64,3.099e-05,2.9207e-05,3.5359e-05,3.0864e-05,3.3475e-05
1,64,2.9337e-05,2.7494e-05,3.2804e-05,2.8986e-05,3.2804e-05
1,64,3.0863e-05,2.9096e-05,3.4668e-05,3.094e-05,3.4668e-05
1,64,2.8846e-05,2.7083e-05,3.077e-05,2.8866e-05,3.0419e-05
1,64,2.8963e-05,2.7423e-05,3.1751e-05,2.8901e-05,3.1751e-05
1,64,3.0863e-05,2.9507e-05,3.3264e-05,3.0979e-05,2.9918e-05
1,64,2.887e-05,2.7503e-05,3.0429e-05,2.8841e-05,3.0429e-05
1,64,3.0799e-05,2.9498e-05,3.2042e-05,3.0705e-05,3.0539e-05
1,64,2.8947e-05,2.7383e-05,3.0639e-05,2.9107e-05,3.0208e-05
1,64,3.097e-05,2.9206e-05,3.4036e-05,3.105e-05,3.2393e-05
1,64,2.8809e-05,2.7072e-05,3.0459e-05,2.8595e-05,3.0169e-05
1,64,2.8871e-05,2.7544e-05,3.2273e-05,2.8775e-05,3.2273e-05
1,64,3.0696e-05,2.8796e-05,3.3435e-05,3.0845e-05,3.0249e-05
1,64,2.8926e-05,2.7233e-05,3.2102e-05,2.9062e-05,2.9808e-05
1,64,3.2192e-05,3.0519e-05,3.5419e-05,3.2127e-05,3.3556e-05
1,64,2.8956e-05,2.7463e-05,3.1311e-05,2.8956e-05,3.0399e-05
1,64,2.911e-05,2.7283e-05,3.2093e-05,2.9021e-05,3.1932e-05
1,64,2.9306e-05,2.7734e-05,3.2643e-05,2.9342e-05,2.9688e-05
1,64,2.8608e-05,2.7052e-05,3.1912e-05,2.8676e-05,3.1912e-05
1,64,3.0765e-05,2.9236e-05,3.2052e-05,3.0779e-05,3.0349e-05
1,64,2.895e-05,2.7283e-05,3.1201e-05,2.9116e-05,3.1201e-05
1,64,3.0724e-05,2.9316e-05,3.2202e-05,3.0835e-05,3.2202e-05
1,64,2.889e-05,2.7303e-05,3.0289e-05,2.9147e-05,3.0119e-05
1,64,2.9024e-05,2.7393e-05,3.1882e-05,2.9026e-05,3.1882e-05
1,64,2.8972e-05,2.7012e-05,3.1181e-05,2.8986e-05,3.0609e-05
1,64,2.9015e-05,2.7533e-05,3.2954e-05,2.8866e-05,3.0068e-05
1,64,3.0924e-05,2.9227e-05,3.5158e-05,3.0734e-05,3.0619e-05
1,64,2.9246e-05,2.7614e-05,3.2864e-05,2.9006e-05,3.083e-05
1,64,3.1147e-05,2.9226e-05,3.595e-05,3.0835e-05,3.2523e-05
1,64,2.9421e-05,2.7673e-05,3.2142e-05,2.9132e-05,2.9007e-05
1,64,2.8904e-05,2.6983e-05,3.2613e-05,2.8781e-05,3.2613e-05
1,64,3.0771e-05,2.9036e-05,3.4347e-05,3.0649e-05,3.0159e-05
1,64,2.9068e-05,2.7494e-05,3.091e-05,2.8997e-05,3.0649e-05
1,64,3.0966e-05,2.9257e-05,3.4757e-05,3.092e-05,3.0159e-05
1,64,2.9358e-05,2.7673e-05,3.2493e-05,2.9282e-05,3.109e-05
1,64,3.1052e-05,2.9237e-05,3.642e-05,3.104e-05,3.2413e-05
1,64,2.8975e-05,2.7083e-05,3.3105e-05,2.9047e-05,3.0329e-05
1,64,2.9148e-05,2.7394e-05,3.2964e-05,2.9041e-05,3.2503e-05
1,64,3.0987e-05,2.9256e-05,3.2894e-05,3.103e-05,3.123e-05
1,64,2.9046e-05,2.7543e-05,3.086e-05,2.9046e-05,3.0119e-05
